"filename", "language", "JavaScript", "Less", "SCSS", "CSS", "Ruby", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\user\user.services.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 12, 100
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\assets\img\error-404-monochrome.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\assets\login.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\assets\purchase.html", "HTML", 0, 0, 0, 0, 0, 220, 0, 2, 26, 248
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\css\myStyle.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 3, 17, 70
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\css\styles.css", "CSS", 0, 0, 0, 8749, 0, 0, 0, 11, 1454, 10214
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\index.html", "HTML", 0, 0, 0, 0, 0, 190, 0, 7, 91, 288
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\addCategory.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 2, 10, 63
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\addItem.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 4, 64, 296
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\addLab.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 16, 135
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\addSubCategory.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 22, 101
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\approveDelUser.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 20, 154
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\dashboard.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\deleteDepartment.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 36, 139
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\deleteLab.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 3, 33, 167
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\issue.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 3, 62, 283
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\purchaseItem.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 4, 117, 431
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\register.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 1, 36, 211
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\returnItem.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 24, 99
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\scripts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\updateItem.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 2, 118, 346
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\updateLab.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 47, 227
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\Admin\js\updatePurchase.js", "JavaScript", 284, 0, 0, 0, 0, 0, 0, 4, 124, 412
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\assets\img\error-404-monochrome.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\assets\login.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\assets\purchase.html", "HTML", 0, 0, 0, 0, 0, 220, 0, 2, 26, 248
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\css\myStyle.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 3, 17, 70
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\css\styles.css", "CSS", 0, 0, 0, 8749, 0, 0, 0, 11, 1454, 10214
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\index.html", "HTML", 0, 0, 0, 0, 0, 219, 0, 11, 120, 350
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\addCategory.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 2, 10, 63
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\addItem.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 4, 64, 296
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\addSubCategory.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 22, 101
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\dashboard.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\issue.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 3, 62, 283
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\purchaseItem.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 4, 117, 431
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\register.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 1, 36, 211
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\returnItem.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 24, 99
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\scripts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 3, 18
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\updateItem.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 2, 118, 346
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\LabAdmin\js\updatePurchase.js", "JavaScript", 284, 0, 0, 0, 0, 0, 0, 4, 124, 412
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\assets\img\error-404-monochrome.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\assets\login.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\assets\purchase.html", "HTML", 0, 0, 0, 0, 0, 220, 0, 2, 26, 248
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\css\myStyle.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 3, 17, 70
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\css\styles.css", "CSS", 0, 0, 0, 8749, 0, 0, 0, 11, 1454, 10214
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\index.html", "HTML", 0, 0, 0, 0, 0, 255, 0, 11, 133, 399
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\IssueReport.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 1, 31, 160
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\public\Panel\MasterAdmin\js\addCategory.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 2, 10, 63
